,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,full_text,retweet_count,favorite_count,user_followers,user_following
0,Guilherme_Wolff,577562696,False,,0,,,0,0,0,2020-11-18 21:31:20,1329175381811740673,Coronavírus me fez assinar disneyplus,0,0,88,451
1,piuborinn,1308219719518957568,False,sickofthisnoise,1312618345338994689,False,sickofthisnoise,1312618345338994689,0,0,2020-11-18 21:31:17,1329175369568702467,RT @sickofthisnoise: vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https…,1111,0,30,232
2,Marcos60606006,1329166388745867265,False,,0,,,0,0,0,2020-11-18 21:31:12,1329175348181934088,"🔥CONTA DISNEY PLUS GRÁTIS 🔥
E só seguir lá, assim que bater 100 seguidores eu posto, divulguem para ir mais rápido
#DisneyPlus #DisneyPlusBR 
#senhadisneyplus #Disneyplusfree
#followme #Disney #instagram https://t.co/r165fRHWyH",0,0,0,26
3,kalel150903,4872150154,False,,0,,,0,0,0,2020-11-18 21:31:11,1329175343564009478,Bora? #DisneyPlus https://t.co/emGt5nqSMr,0,0,59,259
4,Liveirah1,1134667700616290304,False,sickofthisnoise,1312618345338994689,False,sickofthisnoise,1312618345338994689,0,0,2020-11-18 21:31:04,1329175315910979585,RT @sickofthisnoise: vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https…,1111,0,3,41
5,biialiisboa,232399681,False,,0,,,0,0,0,2020-11-18 21:30:58,1329175288597651460,"emocionada que alice me deu a conta do disneyplus 
ninguém me segura",0,0,401,209
6,Maddu__souza,927153033615732736,False,Bandida81142099,1297555714165092353,False,Bandida81142099,1297555714165092353,0,0,2020-11-18 21:30:55,1329175278304833538,RT @Bandida81142099: Mudaram a senha  ent vim aqui mais uma vez me sigam e deem rt  q eu envio email e senha #DisneyPlus #disneyplusbrasil…,45,0,71,119
7,little_lud,2942100154,False,centrallomovtov,1321097780035833859,False,centrallomovtov,1321097780035833859,0,0,2020-11-18 21:30:50,1329175257203281920,"RT @centrallomovtov: ⚠️SORTEIO DE CONTAS DISNEY+ ⚠️
 
🌪 SERÃO 4 GANHADORES  🌪

REGRAS: 
ME SEGUIR
.
FAV+RT,
.
MARCAR AMIGOS NOS COMENTÁRIOS…",12,0,483,685
8,_brrs_manu,1308958032097955840,False,Nandagaah,1072260171622158336,False,Nandagaah,1072260171622158336,0,0,2020-11-18 21:30:43,1329175225423065099,"RT @Nandagaah: EU INDO ENTRAR NO DISNEY PLUS COM A CONTA DE OUTRA PESSOA// EU VOLTANDO PORQUE TEM MUITO GENTE ASSISTINDO
#DisneyPlus https:…",575,0,8,30
9,Mj18114,1227014728226136065,False,_Frasesvds_,1326167497536630786,False,_Frasesvds_,1326167497536630786,0,0,2020-11-18 21:30:35,1329175193407938562,"RT @_Frasesvds_: ⚠️SORTEIO DE CONTAS DISNEY+ ⚠️
 
🌪 SERÃO 4 GANHADORES  🌪

REGRAS: 
ME SEGUIR
.
FAV+RT,
.
MARCAR AMIGOS NOS COMENTÁRIOS (QU…",15,0,0,23
