,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,full_text,retweet_full_text,retweet_count,favorite_count,user_followers,user_following
0,tsbkxs,1313965289923641346,False,,0,,,0,0,0,2020-11-18 21:42:42,1329178241190555648,"“oq vc tá fazendo aí?”

o povo passando as senhas e e-mails no tt pro #DisneyPlus: nada pô, só uns negócio nosso aí https://t.co/b2o6zEYwDb",,0,0,15,28
1,WexleyofSilva,3033549067,False,sickofthisnoise,1312618345338994689,False,sickofthisnoise,1312618345338994689,0,0,2020-11-18 21:42:33,1329178205929037825,RT @sickofthisnoise: vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https…,vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https://t.co/pumj6FSbG9,1125,0,425,718
2,GiihRicci,61674572,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-18 21:42:28,1329178183216861185,RT @DisneyPlusBR: Hoje é aniversário do nosso amado Mickey. 🥳 Que tal comemorar assistindo suas novas aventuras em O Mundo Maravilhoso de M…,Hoje é aniversário do nosso amado Mickey. 🥳 Que tal comemorar assistindo suas novas aventuras em O Mundo Maravilhoso de Mickey Mouse? Disponível agora. Só no #DisneyPlus. https://t.co/a4JqAgF5by,72,0,1171,672
3,vkookindie,1327960706235371525,False,sickofthisnoise,1312618345338994689,False,sickofthisnoise,1312618345338994689,0,0,2020-11-18 21:42:08,1329178099892838408,RT @sickofthisnoise: vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https…,vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https://t.co/pumj6FSbG9,1125,0,9,14
4,Piekazevicz,720739144041934848,False,,0,,,0,0,0,2020-11-18 21:42:07,1329178093492310017,que graça tem ter acesso a disneyplus se os simpsons estao em ITALIANO KARALHO CADE AS DUBLAGENS DE OUTROS PAISES MINHA INFANCIA N PODE SER DESTRUIDA ASSIM,,0,0,73,179
5,Clairehimym,1214390593377439744,False,otakuzinn_,1262768821175230465,False,otakuzinn_,1262768821175230465,0,0,2020-11-18 21:41:59,1329178062970347524,RT @otakuzinn_: A procura de uma amizade sincera  com quem tem Disney+ 😊💖🤝 #DisneyPlus https://t.co/FdlZ43MVwe,A procura de uma amizade sincera  com quem tem Disney+ 😊💖🤝 #DisneyPlus https://t.co/FdlZ43MVwe,208,0,823,952
6,Geovann21340750,1250238758777229312,False,slalisas,1309717133270691840,False,slalisas,1309717133270691840,0,0,2020-11-18 21:41:52,1329178033404653570,"RT @slalisas: ✳️SORTEIO DISNEY PLUS✳️

Serão 8 ganhadores 

Regras: 

• me sigam

•RT E FAV nesse Tweet 

• ativem as notificações (print e…","✳️SORTEIO DISNEY PLUS✳️

Serão 8 ganhadores 

Regras: 

• me sigam

•RT E FAV nesse Tweet 

• ativem as notificações (print em apenas 1 comentário) 

• comente mto (quanto mais comentar, mais chances de ganhar)

Resultado 20hrs 

#DisneyPlusBR #disneyplus #disneyplusaccount https://t.co/R0m4PaIbR8",22,0,39,65
7,BOYDEVERAO,4047815836,False,,0,,,0,0,0,2020-11-18 21:41:32,1329177949568987139,Indo assistir Black is King na Disney+ e fui tombado porque as músicas não tem legenda 😢 https://t.co/ceZnYI0fn7,,0,0,174,93
8,YURISAM12188867,1329177079301238785,False,,0,,,0,0,0,2020-11-18 21:41:32,1329177947199123457,"Não liguem pra mim.
Só criei essa conta se acho alguém pra dividir a conta da Disney +
👀👄👀👐
#DisneyPlus",,0,0,0,0
9,yoonsreign,1230600638763061248,False,slalisas,1309717133270691840,False,slalisas,1309717133270691840,0,0,2020-11-18 21:41:22,1329177906921304066,"RT @slalisas: ✳️SORTEIO DISNEY PLUS✳️

Serão 8 ganhadores 

Regras: 

• me sigam

•RT E FAV nesse Tweet 

• ativem as notificações (print e…","✳️SORTEIO DISNEY PLUS✳️

Serão 8 ganhadores 

Regras: 

• me sigam

•RT E FAV nesse Tweet 

• ativem as notificações (print em apenas 1 comentário) 

• comente mto (quanto mais comentar, mais chances de ganhar)

Resultado 20hrs 

#DisneyPlusBR #disneyplus #disneyplusaccount https://t.co/R0m4PaIbR8",22,0,2059,1457
