,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,Massallys,43749261,False,JaumGodoy,9052992,False,JaumGodoy,9052992,0,0,2020-11-18 21:12:01,1329170521964109824,"RT @JaumGodoy: Chateadíssimo que não tem este clássico das Princesas no #DisneyPlus 
 https://t.co/JFIu4pHOVh",1478,0,2022,1172
1,ARMYlily20,1243751287931445248,False,Contas_Premiium,1252730769816137728,False,Contas_Premiium,1252730769816137728,0,0,2020-11-18 21:11:58,1329170506919141390,"RT @Contas_Premiium: DONATE #DisneyPlus 

7 GANHADORES 

regras:

- RT E FAV
- Siga @Contas_Premiium
- Comentar UM número de 1 à 300

Resul…",85,0,13,83
2,Fc_bibi_tatto20,1317699401356333056,False,emeertso,1191888627351130113,False,emeertso,1191888627351130113,0,0,2020-11-18 21:11:56,1329170500547964930,"RT @emeertso: Sobre o sorteio conta da Prime amazon 

Vamos la dia do sorteio: (nao sei ainda)

Quantos ganhadores: 5

Para participa do so…",18,0,69,229
3,lau02527879,1329150916952469504,False,_Frasesvds_,1326167497536630786,False,_Frasesvds_,1326167497536630786,0,0,2020-11-18 21:11:46,1329170459078877185,"RT @_Frasesvds_: ⚠️SORTEIO DE CONTAS DISNEY+ ⚠️
 
🌪 SERÃO 4 GANHADORES  🌪

REGRAS: 
ME SEGUIR
.
FAV+RT,
.
MARCAR AMIGOS NOS COMENTÁRIOS (QU…",14,0,1,20
4,lau02527879,1329150916952469504,False,Bandida81142099,1297555714165092353,False,Bandida81142099,1297555714165092353,0,0,2020-11-18 21:11:38,1329170425335705600,RT @Bandida81142099: Mudaram a senha  ent vim aqui mais uma vez me sigam e deem rt  q eu envio email e senha #DisneyPlus #disneyplusbrasil…,44,0,1,20
5,lara71102739,1329059442160242688,False,,0,,,0,0,0,2020-11-18 21:11:38,1329170421959299073,so queria🥺#disneyplus https://t.co/3yB5ERCc7H,0,0,0,42
6,Mchell_araujof,902383225439432705,False,tonibebel,1296217703053766656,False,tonibebel,1296217703053766656,0,0,2020-11-18 21:11:33,1329170404976504832,RT @tonibebel: Sem amigos para dividir o Disneyplus comigo,2,0,211,1095
7,sahbennet,1279974601318191105,False,sickofthisnoise,1312618345338994689,False,sickofthisnoise,1312618345338994689,0,0,2020-11-18 21:11:26,1329170374756429824,RT @sickofthisnoise: vou dar conta para todos que RT/FAV esse tweet (tem que estar me seguindo e ativado as notificações) #DisneyPlus https…,1077,0,324,391
8,NovaesRamina,4906030205,False,,0,,,0,0,0,2020-11-18 21:11:24,1329170363293593605,"Sério #DisneyPlus quanta perfeição em um só na lugar, não tô bem",0,0,13,134
9,Guileume0,1052722905937776640,False,,0,,_mariaalem,1245424686839758851,_mariaalem,1245424686839758851,2020-11-18 21:11:14,1329170324823400453,@_mariaalem @lxnxin Só quando vc me passar a Disneyplus,0,0,126,122
